Province,District,Dependent Locality,Provincia Codigo,Distrito Codigo,Corregimiento codigo
Bocas del Toro,Almirante,Puerto Almirante,PM01,PM01AL,PM01ALPU
Bocas del Toro,Almirante,Barriada GuaymÌ_,PM01,PM01AL,PM01ALBA
Bocas del Toro,Almirante,Barrio FrancÌ©s,PM01,PM01AL,PM01ALBA
Bocas del Toro,Almirante,Nance de RiscÌ_,PM01,PM01AL,PM01ALNA
Bocas del Toro,Almirante,Valle de Aguas Arriba,PM01,PM01AL,PM01ALVA
Bocas del Toro,Almirante,Valle de RiscÌ_,PM01,PM01AL,PM01ALVA
Bocas del Toro,Bocas del Toro,Bastimentos,PM01,PM01BO,PM01BOBA
Bocas del Toro,Bocas del Toro,Bocas del Toro,PM01,PM01BO,PM01BOBO
Bocas del Toro,Bocas del Toro,Cauchero,PM01,PM01BO,PM01BOCA
Bocas del Toro,Bocas del Toro,Punta Laurel,PM01,PM01BO,PM01BOPU
Bocas del Toro,Bocas del Toro,Tierra Oscura,PM01,PM01BO,PM01BOTI
Bocas del Toro,Changuinola,Changuinola,PM01,PM01CG,PM01CGCH
Bocas del Toro,Changuinola,Cochigro,PM01,PM01CG,PM01CGCO
Bocas del Toro,Changuinola,El Empalme,PM01,PM01CG,PM01CGEL
Bocas del Toro,Changuinola,Guabito,PM01,PM01CG,PM01CGGU
Bocas del Toro,Changuinola,La Gloria,PM01,PM01CG,PM01CGLA
Bocas del Toro,Changuinola,Las Delicias,PM01,PM01CG,PM01CGLA
Bocas del Toro,Changuinola,Las Tablas,PM01,PM01CG,PM01CGLA
Bocas del Toro,Changuinola,Barriada 4 de Abril,PM01,PM01CG,PM01CGBA
Bocas del Toro,Changuinola,El Teribe,PM01,PM01CG,PM01CGEL
Bocas del Toro,Changuinola,Finca 30,PM01,PM01CG,PM01CGFI
Bocas del Toro,Changuinola,Finca 60,PM01,PM01CG,PM01CGFI
Bocas del Toro,Changuinola,Finca 6,PM01,PM01CG,PM01CGFI
Bocas del Toro,Changuinola,El Silencio,PM01,PM01CG,PM01CGEL
Bocas del Toro,ChiriquÌ_ Grande,Bajo Cedro,PM01,PM01CH,PM01CHBA
Bocas del Toro,ChiriquÌ_ Grande,ChiriquÌ_ Grande,PM01,PM01CH,PM01CHCH
Bocas del Toro,ChiriquÌ_ Grande,Miramar,PM01,PM01CH,PM01CHMI
Bocas del Toro,ChiriquÌ_ Grande,Punta PeÌ±a,PM01,PM01CH,PM01CHPU
Bocas del Toro,ChiriquÌ_ Grande,Punta Robalo,PM01,PM01CH,PM01CHPU
Bocas del Toro,ChiriquÌ_ Grande,Rambala,PM01,PM01CH,PM01CHRA
ChiriquÌ_,Alanje,Santiago de Alanje,PM02,PM02AL,PM02ALSA
ChiriquÌ_,Alanje,DivalÌÁ,PM02,PM02AL,PM02ALDI
ChiriquÌ_,Alanje,Canta Gallo,PM02,PM02AL,PM02ALCA
ChiriquÌ_,Alanje,El Tejar,PM02,PM02AL,PM02ALEL
ChiriquÌ_,Alanje,Guarumal,PM02,PM02AL,PM02ALGU
ChiriquÌ_,Alanje,Nuevo MÌ©xico,PM02,PM02AL,PM02ALNU
ChiriquÌ_,Alanje,QuerÌ©valo,PM02,PM02AL,PM02ALQU
